DateTime,Original Tweet,Processed Tweet
2016-12-07 23:27:01+00:00,"In a blow to Senate Democrats, the White House says @realDonaldTrump should be given “significant latitude to assemble his team.”","['blow', 'senate', 'democrats', 'white', 'house', 'say', 'give', '“', 'significant', 'latitude', 'assemble', 'team', '”']"
2016-12-07 21:13:48+00:00,8 Facts About Defense Secretary Nominee General James Mattis http://gop.cm/kR2F8P,"['facts', 'defense', 'secretary', 'nominee', 'general', 'james', 'mattis']"
2016-12-07 19:08:04+00:00,Making moves to #MakeAmericaGreatAgain!,"['making', 'move', 'makeamericagreatagain']"
2016-12-07 16:58:03+00:00,Today we remember the thousands of Americans killed & wounded in the attack on Pearl Harbor & the survivors who are still with us today.,"['today', 'remember', 'thousand', 'americans', 'kill', 'wound', 'attack', 'pearl', 'harbor', 'survivor', 'still', 'us', 'today']"
2016-12-07 15:53:20+00:00,.@realDonaldTrump Formally Introduces Defense Nominee James ‘Mad Dog’ Mattis http://wapo.st/2h65U0U,"['formally', 'introduces', 'defense', 'nominee', 'james', '‘', 'mad', 'dog', '’', 'mattis']"
2016-12-06 20:58:03+00:00,"""...he speaks truth to power.""","['speak', 'truth', 'power']"
2016-12-06 17:12:00+00:00,Poll: @realDonaldTrump's @Carrier Deal Is Wildly Popular http://politi.co/2h1TdUs,"['poll', 'deal', 'wildly', 'popular']"
2016-12-06 16:07:03+00:00,"#OnThisDay in 1865 the 13th Amendment was ratified, abolishing slavery.","['onthisday', 'th', 'amendment', 'ratify', 'abolish', 'slavery']"
2016-12-06 14:43:06+00:00,Republicans are ready.,"['republicans', 'ready']"
2016-12-05 22:43:02+00:00,Get in the Christmas spirit with your very own #MakeAmericaGreatAgain Red Cap Collectible Ornament http://gop.cm/Cn4Tb9,"['get', 'christmas', 'spirit', 'makeamericagreatagain', 'red', 'cap', 'collectible', 'ornament']"
2016-12-05 20:08:03+00:00,Because the Democrats are more than welcome to stay right where they are...,"['democrats', 'welcome', 'stay', 'right']"
2016-12-05 16:41:00+00:00,How The RNC's Ground Game Made Florida Red Again via Co-Chair @SharonDay http://bit.ly/2gYCqln,"['rncs', 'ground', 'game', 'made', 'florida', 'red', 'via', 'cochair']"
2016-12-05 15:29:21+00:00,.@realDonaldTrump to Nominate @RealBenCarson as Housing Secretary,"['nominate', 'housing', 'secretary']"
2016-12-03 15:23:03+00:00, ,[]
2016-12-02 21:41:01+00:00,Fact: More people in MI looked up their polling location on http://vote.gop than the difference in the election #MichiganRecount,"['fact', 'people', 'mi', 'look', 'polling', 'location', 'difference', 'election', 'michiganrecount']"
2016-12-02 19:54:02+00:00,Already making history... http://gop.cm/rBZ8j4,"['already', 'make', 'history']"
2016-12-02 18:21:15+00:00,.@realDonaldTrump Pledges 'America First' In Speech On Victory Tour,"['pledges', 'america', 'first', 'speech', 'victory', 'tour']"
2016-12-02 16:08:04+00:00,Vice President-elect @mike_pence Says @realDonaldTrump Administration Plans Ambitious Agenda http://on.wsj.com/2gQ7NOQ,"['vice', 'presidentelect', 'says', 'administration', 'plans', 'ambitious', 'agenda']"
2016-12-01 22:07:02+00:00,BREAKING NEWS: The Senate voted unanimously to renew the Iran sanctions law ,"['breaking', 'news', 'senate', 'vote', 'unanimously', 'renew', 'iran', 'sanction', 'law']"
2016-12-01 20:41:34+00:00,"1,000 jobs before a single day in the White House ","['job', 'single', 'day', 'white', 'house']"
2016-12-01 18:17:04+00:00,".@realDonaldTrump To Visit Indianapolis, Cincinnati In First Public Events Since Election Day http://on.wsj.com/2gMrZRV","['visit', 'indianapolis', 'cincinnati', 'first', 'public', 'events', 'since', 'election', 'day']"
2016-11-30 23:54:03+00:00,".@Carrier's announcement keeps JOBS at home, proving that a @realDonaldTrump Administration means AMERICA first.","['announcement', 'keep', 'jobs', 'home', 'proving', 'administration', 'mean', 'america', 'first']"
2016-11-30 22:03:04+00:00,Obama’s EPA hurries to finalize a lame duck decision to harm American auto makers and consumers: http://gop.cm/8YEf1m,"['obama', '’', 'epa', 'hurry', 'finalize', 'lame', 'duck', 'decision', 'harm', 'american', 'auto', 'maker', 'consumer']"
2016-11-30 20:27:53+00:00,"Since Nov 8th, Pres-elect @realDonaldTrump has been hard at work beginning to #MakeAmericaGreatAgain http://gop.cm/rBZ8j4","['since', 'nov', 'th', 'preselect', 'hard', 'work', 'begin', 'makeamericagreatagain']"
2016-11-30 18:03:27+00:00,".@realDonaldTrump to nominate @stevenmnuchin1 as Treasury secretary, @OfficialWLRoss as Commerce secretary","['nominate', 'treasury', 'secretary', 'commerce', 'secretary']"
2016-11-30 16:10:56+00:00,.@realDonaldTrump Picks @ElaineChao as Transportation Secretary,"['picks', 'transportation', 'secretary']"
2016-11-29 16:46:47+00:00,.@RepTomPrice Is @realDonaldTrump's Pick For Health And Human Services Dept.,"['pick', 'health', 'human', 'services', 'dept']"
2016-11-28 22:03:03+00:00,America FIRST: http://gop.cm/4TCDCn,"['america', 'first']"
2016-11-28 19:36:03+00:00,There's still time left to get your official #MakeAmericaGreatAgain ornament http://gop.cm/bDAuy1,"['theres', 'still', 'time', 'leave', 'get', 'official', 'makeamericagreatagain', 'ornament']"
2016-11-28 16:27:57+00:00,"The Recount Hail Mary: ""The left may get an unexpected lesson in electoral federalism.""","['recount', 'hail', 'mary', 'left', 'may', 'get', 'unexpected', 'lesson', 'electoral', 'federalism']"
2016-11-28 14:57:47+00:00,Pelosi challenger: House Dems need new message and messenger http://apne.ws/2gOGUOd,"['pelosi', 'challenger', 'house', 'dems', 'need', 'new', 'message', 'messenger']"
2016-11-26 18:40:14+00:00,Full GOP statement on the death of Fidel #Castro http://gop.cm/FyxAKe,"['full', 'gop', 'statement', 'death', 'fidel', 'castro']"
2016-11-26 15:04:03+00:00,Happy #SmallBizSaturday! Be sure to check out your local small businesses today!,"['happy', 'smallbizsaturday', 'sure', 'check', 'local', 'small', 'business', 'today']"
2016-11-25 18:32:31+00:00,"You showed the world that America will once again be a country of, for, and by the PEOPLE http://gop.cm/4TCDCn","['show', 'world', 'america', 'country', 'people']"
2016-11-24 15:03:18+00:00,Happy Thanksgiving from our families to yours!,"['happy', 'thanksgiving', 'family']"
2016-11-24 00:09:02+00:00,Get your official #MakeAmericaGreatAgain ornament before they're gone! http://gop.cm/CEiuGf,"['get', 'official', 'makeamericagreatagain', 'ornament', 'theyre', 'go']"
2016-11-23 22:07:03+00:00, http://gop.cm/4TCDCn,[]
2016-11-23 20:21:01+00:00,Obama's Post-Election Glow Doesn't Shine On Democrats,"['obamas', 'postelection', 'glow', 'doesnt', 'shine', 'democrats']"
2016-11-23 18:49:01+00:00,.@realDonaldTrump appoints @BetsyDeVos to education secretary post,"['appoints', 'education', 'secretary', 'post']"
