DateTime,Original Tweet,Processed Tweet
2016-12-07 21:47:21+00:00,Tune in as @JoeBiden's Senate colleagues pay tribute to a remarkable man and public servant: http://bit.ly/2gVFzEL,"['tune', 'senate', 'colleague', 'pay', 'tribute', 'remarkable', 'man', 'public', 'servant']"
2016-12-07 17:44:11+00:00,"As HUD Secretary, Ben Carson could set back efforts to protect Americans from the consequences of climate change:","['hud', 'secretary', 'ben', 'carson', 'could', 'set', 'back', 'effort', 'protect', 'americans', 'consequence', 'climate', 'change']"
2016-12-07 15:53:56+00:00,Remembering the Americans who lost their lives at Pearl Harbor 75 years ago today.,"['remembering', 'americans', 'lose', 'life', 'pearl', 'harbor', 'year', 'ago', 'today']"
2016-12-07 01:53:49+00:00,"Trump then: Carson ""has no aptitude to do any of the deals that you have to do"" Trump now: Carson is ""passionate"" and “brilliant""","['trump', 'carson', 'aptitude', 'deal', 'trump', 'carson', 'passionate', '“', 'brilliant']"
2016-12-06 23:45:27+00:00,And he just accepted Trump's nomination to run the Department of Housing and Urban Development ,"['aepted', 'trumps', 'nomination', 'run', 'department', 'housing', 'urban', 'development']"
2016-12-06 21:51:19+00:00,Holiday shopping? Inspire loved ones 365 days a year with a calendar featuring quotes from your favorite Dems: http://store.democrats.org/products/2017-calendar,"['holiday', 'shopping', 'inspire', 'love', 'one', 'day', 'year', 'calendar', 'feature', 'quote', 'favorite', 'dems']"
2016-12-06 20:03:24+00:00,The GOP thinks Americans don't care about Trump's many conflicts of interest. RT if you're holding him accountable ,"['gop', 'think', 'americans', 'dont', 'care', 'trumps', 'many', 'conflict', 'interest', 'youre', 'hold', 'aountable']"
2016-12-06 18:39:08+00:00,"Tom Kirkman is more qualified than Ben Carson to lead Housing and Urban Development, and he’s not even real: http://nyti.ms/2gza0x6","['tom', 'kirkman', 'qualified', 'ben', 'carson', 'lead', 'housing', 'urban', 'development', '’', 'even', 'real']"
2016-12-06 17:04:11+00:00,Trump’s pick for national security adviser has dangerously promoted a series of outrageous conspiracy theories:,"['trump', '’', 'pick', 'national', 'security', 'adviser', 'dangerously', 'promote', 'series', 'outrageous', 'conspiracy', 'theory']"
2016-12-06 15:43:04+00:00,Remember when Trump said he would appoint only the best cabinet members? Well…,"['remember', 'trump', 'say', 'would', 'appoint', 'best', 'cabinet', 'member', 'well', '…']"
2016-12-06 01:24:29+00:00,"So naturally, Trump nominated him to be Secretary of Housing and Urban Development.","['naturally', 'trump', 'nominate', 'secretary', 'housing', 'urban', 'development']"
2016-12-05 22:02:28+00:00,"Donald Trump could continue the Obama administration's reforms and help American workers, but will he? http://nyti.ms/2h6glA7","['donald', 'trump', 'could', 'continue', 'obama', 'administration', 'reform', 'help', 'american', 'worker']"
2016-12-05 20:44:34+00:00,"""The last thing he would want to do was take a position that could cripple the presidency."" —A spokesperson for HUD Sec. nominee Ben Carson","['last', 'thing', 'would', 'want', 'take', 'position', 'could', 'cripple', 'presidency', '—', 'spokesperson', 'hud', 'sec', 'nominee', 'ben', 'carson']"
2016-12-05 19:11:39+00:00,Meet some of the Americans who will be hurt if Donald Trump is successful in repealing the Affordable Care Act: http://n.pr/2gbFSu0,"['meet', 'americans', 'hurt', 'donald', 'trump', 'suessful', 'repeal', 'affordable', 'care', 'act']"
2016-12-05 17:23:50+00:00,Congrats to @RoyCooperNC — your next Governor of North Carolina!,"['congrats', '—', 'next', 'governor', 'north', 'carolina']"
2016-12-05 16:59:32+00:00,"Repealing Obamacare without a plan to replace it ""would be the height of cruelty and conservative extremism.""","['repealing', 'obamacare', 'without', 'plan', 'replace', 'would', 'height', 'cruelty', 'conservative', 'extremism']"
2016-12-05 15:42:00+00:00,Trump's own nominees know that they're unqualified.,"['trumps', 'nominee', 'know', 'theyre', 'unqualified']"
2016-12-05 00:33:42+00:00,Say you're still in: http://bit.ly/2gPzx8X,"['say', 'youre', 'still']"
2016-12-04 23:09:06+00:00,Repealing Obamacare would cost millions their health insurance. (And that's exactly what Tom Price and Trump want to do.),"['repealing', 'obamacare', 'would', 'cost', 'million', 'health', 'insurance', 'thats', 'exactly', 'tom', 'price', 'trump', 'want']"
2016-12-04 19:31:53+00:00,The Obama Presidency: Transforming the Great Recession into 15.6 million jobs and a 9-year low for unemployment.,"['obama', 'presidency', 'transforming', 'great', 'recession', 'million', 'job', 'year', 'low', 'unemployment']"
