DateTime,Original Tweet,Processed Tweet
2013-07-23 18:53:37+00:00,Time to dig into more technical education on @SoftLayer. This is an amazing offering that IBM bought! #ibmcloud #cloud,"['time', 'dig', 'technical', 'education', 'amazing', 'offering', 'ibm', 'buy', 'ibmcloud', 'cloud']"
2013-07-16 23:34:49+00:00,“@mac_devine: #ibmcloud the Catalyst program of @SoftLayer was a huge hit in the partner workshop http://www.softlayer.com/partners/catalyst”,"['“', 'ibmcloud', 'catalyst', 'program', 'huge', 'hit', 'partner', 'workshop', '”']"
2013-07-06 21:42:49+00:00,@RDUAirport must be the slowest airport in the world when it comes to checked bags. Been out of plane for 30 mins - still no bags. #fail,"['must', 'slow', 'airport', 'world', 'come', 'check', 'bag', 'plane', 'min', 'still', 'bag', 'fail']"
2013-07-06 05:25:24+00:00,"@thweinzettl oh yes! Wondering if none of these architects spend any time in Asia… Singapore, Seoul, HKG would be great examples…","['oh', 'yes', 'wondering', 'none', 'architect', 'spend', 'time', 'asia', '…', 'singapore', 'seoul', 'hkg', 'would', 'great', 'example', '…']"
2013-07-06 04:58:58+00:00,Who would have thought that you can screw up a brand new airport terminal that royally? But Vienna airport managed. #megafail,"['would', 'think', 'screw', 'brand', 'new', 'airport', 'terminal', 'royally', 'vienna', 'airport', 'manage', 'megafail']"
2013-06-27 14:47:52+00:00,@mjhall I may try it again. I just love the native @reederapp on all my platforms - and the sync between.,"['may', 'try', 'love', 'native', 'platform', 'sync']"
2013-06-27 14:42:57+00:00,Google Reader is shutting down on Monday. I wish @reederapp would support @feedly on all platforms. Until then it’ll be just @feedly #rss,"['google', 'reader', 'shut', 'monday', 'wish', 'would', 'support', 'platform', '’', 'rss']"
2013-06-27 12:25:17+00:00,It's a miracle: Canon just released a firmware update for the EOS M mirror less. http://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_m_ef_m_22mm_stm_kit#DriversAndSoftware,"['miracle', 'canon', 'release', 'firmware', 'update', 'eos', 'mirror', 'le']"
2013-06-24 10:09:22+00:00,Why the $@%#$does the @Hertz site insist on a fax number - when there is no place to add one. And no one picks up the phone either at LNZ.,"['site', 'insist', 'fax', 'number', 'place', 'add', 'one', 'one', 'pick', 'phone', 'either', 'lnz']"
2013-06-18 16:08:44+00:00,“@mac_devine: #cloudslam you can follow the conference online via http://www.livestream.com/cloudslam” Thanks Mac!,"['“', 'cloudslam', 'follow', 'conference', 'online', 'via', '”', 'thanks', 'mac']"
2013-06-17 11:43:50+00:00,Just discovered BitTorrent Sync! Had been put off by the name - but seems like really neat technology! #cloud (or not).,"['discover', 'bittorrent', 'sync', 'put', 'name', 'seem', 'like', 'really', 'neat', 'technology', 'cloud']"
2013-06-10 19:03:10+00:00,"@AskStraightTalk @Straighttalk Weird. Getting all kinds of website errors (server busy, timeouts, etc.). Everything else works though.","['weird', 'getting', 'kind', 'website', 'error', 'server', 'busy', 'timeouts', 'etc', 'everything', 'else', 'work', 'though']"
2013-06-10 18:42:15+00:00,@MyStraightTalk Is your website broken? Haven’t been able to get there for two days now. #fail?,"['website', 'broken', '’', 'able', 'get', 'two', 'day', 'fail']"
2013-06-10 17:22:08+00:00,OS X Sea Lion. Loving it! #wwdc,"['os', 'x', 'sea', 'lion', 'loving', 'wwdc']"
2013-06-07 14:54:02+00:00,"How the heck does one cancel a @newsobserver subscription? One of those “easy to sign up, impossible to get out” web sites. #fail","['heck', 'one', 'cancel', 'subscription', 'one', '“', 'easy', 'sign', 'impossible', 'get', '”', 'web', 'site', 'fail']"
2013-06-05 17:41:51+00:00,IBM SmartCloud Application Services (SCAS) 1.1 announced with some key new features: http://thoughtsoncloud.com/index.php/2013/06/ibm-smartcloud-application-services-r1-1-is-announced/ #ibmcloud #scas #sce,"['ibm', 'smartcloud', 'application', 'services', 'scas', 'announce', 'key', 'new', 'feature', 'ibmcloud', 'scas', 'sce']"
2013-06-05 12:41:37+00:00,"“@ibmemergingtech: Do you want a cloud sandbox, or rather try before you buy? IBM options explained: http://lnkd.in/Y8RADi” #ibmcloud","['“', 'want', 'cloud', 'sandbox', 'rather', 'try', 'buy', 'ibm', 'option', 'explain', '”', 'ibmcloud']"
2013-06-04 18:24:50+00:00,IBM SmartCloud Application Services now supports Zend PHP: http://thoughtsoncloud.com/index.php/2013/06/zend-php-ibm-smartcloud/ #ibmcloud #php #cloud #scas,"['ibm', 'smartcloud', 'application', 'services', 'support', 'zend', 'php', 'ibmcloud', 'php', 'cloud', 'scas']"
2013-06-04 18:23:22+00:00,So the @Hurricanes_NHL unveiled their new uniforms. Can’t say that I’m excited. But I guess the old ones weren’t selling any more…,"['unveiled', 'new', 'uniform', '’', 'say', '’', 'excite', 'guess', 'old', 'one', '’', 'sell', '…']"
2013-06-04 15:17:05+00:00,Spending the day learning about @SoftLayer. Interesting solutions!! #ibmcloud #cloud #acquisition,"['spending', 'day', 'learn', 'interesting', 'solution', 'ibmcloud', 'cloud', 'acquisition']"
2013-06-04 14:23:57+00:00,@doit4thepoints In that case I can recommend Chili or Pepper Crab at Jumbo Seafood!!! One of my musts every time I’m there!,"['case', 'recommend', 'chili', 'pepper', 'crab', 'jumbo', 'seafood', 'one', 'must', 'every', 'time', '’']"
2013-06-04 13:45:29+00:00,@doit4thepoints I like the Newton Food Center (close to MTR and only 2 stops from Orchard Rd).,"['like', 'newton', 'food', 'center', 'close', 'mtr', 'stop', 'orchard', 'rd']"
2013-06-04 13:28:08+00:00,"Cloud, meet Enterprise Computing More on IBM's acquisition of Softlayer. #ibmcloud #softlayer #cloud #acquisitions http://thoughtsoncloud.com/index.php/2013/06/cloud-meet-enterprise-computing/","['cloud', 'meet', 'enterprise', 'computing', 'ibms', 'acquisition', 'softlayer', 'ibmcloud', 'softlayer', 'cloud', 'acquisition']"
2013-06-04 13:20:54+00:00,“@ITDoVe: Build and deploy #Worklight application from Worklight Studio to SCAWS http://cloud.itdove.com/?p=1890 #IBMInnovate #IBMCloud #PaaS”,"['“', 'build', 'deploy', 'worklight', 'application', 'worklight', 'studio', 'scaws', 'ibminnovate', 'ibmcloud', 'paas', '”']"
2013-06-04 13:16:35+00:00,“@ibmemergingtech: Awesome news! Great #cloud acquisition for #ibm http://www.dailymarkets.com/stock/2013/06/04/ibm-to-acquire-softlayer-to-accelerate-adoption-of-cloud-computing-in-the-enterprise/”,"['“', 'awesome', 'news', 'great', 'cloud', 'acquisition', 'ibm', '”']"
2013-06-03 12:38:43+00:00,My latest food article (cooking school in Vietnam) is live at http://www.aucourantmagazine.com/table.asp #food #vacation,"['late', 'food', 'article', 'cook', 'school', 'vietnam', 'live', 'food', 'vacation']"
2013-05-31 17:42:37+00:00,Funny! @IBMcloud: Cloud zombies? They're real! How to get rid of them before it's too late: http://ibm.co/15p4a64 via @ThingsESaid”,"['funny', 'cloud', 'zombies', 'theyre', 'real', 'get', 'rid', 'late', 'via', '”']"
2013-05-28 19:43:02+00:00,SmartCloud Enterprise no-charge trial rolls out May 28. This is a fantastic opportunity to try IBM's cloud! #ibmcloud http://thoughtsoncloud.com/index.php/2013/05/smartcloud-enterprise-trial/,"['smartcloud', 'enterprise', 'nocharge', 'trial', 'roll', 'may', 'fantastic', 'opportunity', 'try', 'ibms', 'cloud', 'ibmcloud']"
2013-05-14 14:37:46+00:00,This is a good introduction to the necessary roles for IBM SmartCloud Enterprise Plus deployment: http://lnkd.in/u3WFSa #ibmcloud #sceplus,"['good', 'introduction', 'necessary', 'role', 'ibm', 'smartcloud', 'enterprise', 'plus', 'deployment', 'ibmcloud', 'sceplus']"
2013-05-05 21:43:23+00:00,@united thanks! But that link doesn’t work for her (works for me) (maybe bc her UA *G #was not on the bp). It asks for a serial number,"['thanks', 'link', '’', 'work', 'work', 'maybe', 'bc', 'ua', 'g', 'bp', 'ask', 'serial', 'number']"
2013-05-05 21:10:15+00:00,"@united How do I get a serial number for the appreciation link for UA892 fr ICN,5/5. Link in email worked for me (13a) but not my wife (13b)","['get', 'serial', 'number', 'appreciation', 'link', 'ua', 'fr', 'icn', 'link', 'email', 'work', 'wife', 'b']"
2013-04-16 17:56:10+00:00,3 questions for Angel Diaz on OpenStack and the open cloud Interesting interview with some good points made. http://thoughtsoncloud.com/index.php/2013/04/3-questions-for-angel-diaz-on-openstack-and-the-open-cloud/,"['question', 'angel', 'diaz', 'openstack', 'open', 'cloud', 'interesting', 'interview', 'good', 'point', 'make']"
2013-04-10 23:16:23+00:00,Germany’s Nomos Comes to the U.S. With Bauhaus-Inspired Tangente Watch http://zite.to/10MSwPk via @zite LOVE these watches!! Only have one.,"['germany', '’', 'nomos', 'comes', 'us', 'bauhausinspired', 'tangente', 'watch', 'via', 'love', 'watch', 'one']"
2013-03-22 02:31:17+00:00,God I miss the @American EXP desk. The folks I got today were completely useless I'm afraid. :-(,"['god', 'miss', 'exp', 'desk', 'folk', 'get', 'today', 'completely', 'useless', 'im', 'afraid']"
2013-03-20 01:21:24+00:00,@NHLCanes Pathetic!,['pathetic']
2013-03-14 20:36:25+00:00,I know @United Airlines has a bad rep but I had a great experience fixing an award ticket that broke due to a schedule change today.,"['know', 'airlines', 'bad', 'rep', 'great', 'experience', 'fix', 'award', 'ticket', 'break', 'due', 'schedule', 'change', 'today']"
2013-03-14 17:38:48+00:00,@mjhall Thanks Matt! I'm actually hoping for Reeder (my favorite RSS apps on iOS/Mac) to make the move somewhere else… #wishfulthinking,"['thanks', 'matt', 'im', 'actually', 'hop', 'reeder', 'favorite', 'rss', 'apps', 'iosmac', 'make', 'move', 'somewhere', 'else', '…', 'wishfulthinking']"
2013-03-14 17:25:48+00:00,So Google is shutting down Reader on 7/1 - the one google service that I use the most (even more than e-mail). This sucks. #fail,"['google', 'shut', 'reader', 'one', 'google', 'service', 'use', 'even', 'email', 'suck', 'fail']"
2013-03-09 21:49:46+00:00,Wow!! My wife lost her @fitbit on the way to the airport the other day. @fitbit is sending a free replacement! Talk about above and beyond!,"['wow', 'wife', 'lose', 'way', 'airport', 'day', 'send', 'free', 'replacement', 'talk', 'beyond']"
2013-03-08 18:39:02+00:00,IBM makes waves with open standards announcement Great summary of IBM's cloud announcement and reactions. #ibmcloud http://thoughtsoncloud.com/index.php/2013/03/ibm-makes-waves-with-open-standards-announcement/,"['ibm', 'make', 'wave', 'open', 'standard', 'announcement', 'great', 'summary', 'ibms', 'cloud', 'announcement', 'reaction', 'ibmcloud']"
2013-03-06 18:56:36+00:00,"@YelpNCTriangle Christina, check out the article I wrote about Yamazushi on AuCourant Magazine's Table Art section! http://www.aucourantmagazine.com/table.asp","['christina', 'check', 'article', 'write', 'yamazushi', 'aucourant', 'magazines', 'table', 'art', 'section']"
